student_id,study_hours_per_week,attendance_percent,previous_grade,assignments_completed_percent,sleep_hours,extracurricular_hours,parental_support_score,final_result
S1039,15.3,73.0,61.9,72.7,5.0,3.5,1,Fail
S1040,15.7,100.0,42.9,76.3,7.9,4.3,2,Pass
S1041,14.7,78.5,72.5,85.3,5.4,3.5,5,Pass
S1042,8.7,100.0,28.8,57.5,6.8,3.9,2,Pass
S1043,13.2,76.6,74.7,88.3,6.8,0.0,1,Fail
S1044,12.6,80.0,42.6,89.7,7.1,1.1,2,Fail
S1045,13.1,83.5,65.8,100.0,6.9,3.6,3,Pass
S1046,16.4,100.0,63.2,68.2,5.4,3.5,4,Pass
S1047,13.1,90.8,82.5,66.8,4.7,2.3,5,Pass
S1048,15.4,67.4,62.3,88.8,7.6,3.5,5,Pass
S1049,12.3,92.5,54.6,89.7,6.7,4.2,3,Pass
S1050,13.4,72.6,57.4,65.4,8.0,6.7,3,Pass
S1051,15.2,70.7,84.1,67.7,6.4,3.7,5,Pass
S1052,4.7,91.6,73.0,84.7,4.7,5.2,1,Pass
S1053,10.4,78.5,59.2,60.1,7.8,2.4,3,Pass
S1054,9.6,82.2,61.5,67.6,6.0,5.7,3,Fail
S1055,8.8,78.2,41.5,76.6,6.9,5.1,4,Fail
S1056,10.6,83.0,70.8,92.9,5.7,6.6,5,Pass
S1057,19.5,84.4,38.6,64.1,8.6,6.1,4,Pass
S1058,7.7,48.9,76.3,41.8,5.4,5.8,4,Pass
S1059,16.8,88.0,66.9,40.5,6.1,3.7,4,Pass
S1060,3.6,63.3,100.0,52.3,6.6,4.7,3,Fail
S1061,10.3,56.4,48.5,51.4,5.1,7.2,2,Fail
S1062,12.8,77.1,63.5,72.2,6.9,2.0,2,Fail
S1063,14.9,79.3,92.0,53.6,8.6,2.1,4,Fail
S1064,15.6,67.6,82.9,62.4,5.9,4.5,4,Pass
S1065,16.0,90.5,54.6,61.1,7.0,5.2,2,Pass
S1066,10.3,57.9,68.4,67.1,3.0,1.5,5,Pass
S1067,9.7,71.9,65.0,98.8,6.4,3.8,5,Pass
S1068,16.3,69.2,69.2,86.9,6.1,3.7,4,Pass
S1069,11.0,77.3,54.5,75.3,5.4,0.0,2,Fail
S1070,5.6,82.2,63.7,66.7,7.9,3.3,5,Pass
S1071,6.3,62.9,41.0,67.2,6.1,3.5,2,Fail
S1072,7.4,88.9,67.0,80.9,6.3,3.5,3,Fail
S1073,14.5,78.9,71.8,85.5,6.0,8.2,5,Pass
S1074,12.7,49.6,61.6,58.7,6.5,0.4,3,Fail
S1075,15.5,48.6,40.8,75.7,5.0,1.5,2,Fail
S1076,9.9,77.8,79.8,38.4,7.7,0.0,1,Pass
S1077,12.8,74.7,70.5,78.8,3.8,2.6,2,Fail
S1078,15.1,76.4,54.1,88.7,5.5,2.8,4,Pass
S1079,10.5,77.6,60.8,70.0,6.0,2.5,4,Fail
S1080,14.3,81.4,42.5,100.0,8.8,7.3,2,Fail
S1081,8.7,92.2,49.6,59.1,7.5,6.6,1,Pass
S1082,10.2,61.3,56.9,78.9,5.8,4.2,4,Fail
S1083,10.1,60.4,83.4,74.4,8.2,2.9,1,Fail
S1084,6.0,61.6,55.4,73.2,5.5,7.1,1,Pass
S1085,14.4,82.3,74.6,72.9,7.8,3.9,3,Fail
S1086,9.7,96.7,56.9,76.9,4.7,1.5,3,Pass
S1087,12.1,71.5,68.7,90.3,7.9,0.0,2,Fail
S1088,14.4,40.5,62.9,99.8,6.0,2.7,2,Pass
S1089,14.2,52.4,78.1,75.0,5.2,6.3,2,Pass
S1090,15.3,65.5,57.0,89.7,6.2,10.8,2,Pass
S1091,11.5,69.6,41.4,62.4,6.9,4.2,1,Fail
S1092,9.9,71.9,44.3,88.8,5.9,1.7,1,Fail
S1093,11.6,78.6,57.0,61.3,7.2,0.4,2,Pass
S1094,3.6,73.3,46.3,94.6,5.7,5.7,1,Pass
S1095,4.8,93.7,71.2,100.0,7.3,0.0,2,Pass
S1096,5.4,67.9,58.0,72.8,7.1,5.7,3,Fail
S1097,7.0,65.1,100.0,35.5,6.4,6.5,1,Pass
S1098,14.0,85.2,38.9,65.1,5.9,5.3,4,Pass
S1099,7.5,55.0,68.1,97.2,6.7,3.3,4,Fail
S1100,10.1,83.8,48.1,85.0,7.2,5.7,3,Pass
S1101,18.5,79.5,57.6,79.5,9.2,4.5,4,Pass
S1102,10.2,75.8,67.1,93.2,7.7,1.7,5,Pass
S1103,15.7,100.0,30.1,83.7,7.8,9.6,1,Pass
S1104,7.3,68.7,68.6,96.9,10.0,2.9,1,Pass
S1105,11.0,100.0,93.5,91.5,7.2,6.3,2,Pass
S1106,7.2,74.6,58.2,100.0,7.1,0.0,4,Fail
S1107,10.3,58.8,68.9,81.5,7.4,7.8,5,Pass
S1108,16.2,79.0,80.4,91.3,5.2,8.4,5,Pass
S1109,3.4,61.9,62.5,69.5,5.9,4.1,3,Pass
S1110,14.2,66.7,56.3,64.2,5.8,5.7,3,Pass
S1111,13.2,84.0,30.9,100.0,7.3,5.7,3,Pass
S1112,9.0,86.3,74.6,78.9,6.3,2.1,1,Pass
S1113,4.8,68.7,63.3,89.5,6.7,5.6,3,Pass
S1114,12.4,92.8,49.8,77.2,7.9,1.6,3,Pass
S1115,9.4,95.4,66.9,64.4,7.6,2.2,2,Fail
S1116,13.2,99.5,56.2,75.2,6.3,7.4,4,Fail
S1117,12.1,85.9,57.1,100.0,5.6,6.9,5,Pass
S1118,20.0,98.5,74.1,85.0,8.0,1.9,2,Pass
S1119,10.8,49.8,44.9,44.2,7.5,1.8,5,Fail
S1120,6.9,73.2,80.7,71.1,4.4,2.1,1,Pass
S1121,12.9,65.0,44.0,100.0,6.1,6.2,5,Pass
S1122,13.1,79.8,55.1,71.2,6.5,1.0,4,Pass
S1123,18.8,69.4,93.8,42.6,7.5,5.1,2,Fail
S1124,16.2,75.5,81.9,100.0,7.7,6.2,4,Pass
S1125,13.8,100.0,66.5,87.3,6.9,3.7,2,Pass
S1126,19.3,75.5,50.9,73.7,7.3,7.0,4,Fail
S1127,6.1,84.2,57.1,68.3,6.6,3.1,1,Fail
S1128,8.8,74.5,66.1,94.5,5.6,3.4,2,Fail
S1129,7.4,79.1,65.6,65.2,6.2,1.1,2,Fail
S1130,10.1,78.1,63.6,95.7,6.5,7.1,1,Pass
S1131,5.1,84.7,64.5,84.8,6.5,1.7,2,Pass
S1132,15.2,95.5,61.8,79.4,4.0,5.0,4,Pass
S1133,10.9,100.0,43.4,77.6,6.0,3.8,4,Pass
S1134,4.6,82.6,57.3,71.9,6.6,0.8,3,Pass
S1135,6.9,86.8,78.7,93.8,6.1,2.2,1,Pass
S1136,13.6,60.7,44.5,59.4,6.2,8.1,2,Fail
S1137,16.2,76.7,62.2,45.8,7.1,4.6,5,Pass
S1138,22.0,92.1,52.7,86.1,5.1,1.0,2,Pass
S1139,26.6,91.0,66.7,86.4,4.4,4.9,1,Pass
S1140,14.1,81.2,59.2,83.6,6.0,3.6,3,Fail
S1141,7.1,91.3,87.2,82.3,7.5,14.4,1,Pass
S1142,1.3,85.4,72.6,69.2,8.7,4.9,2,Pass
S1143,13.3,96.0,45.3,89.2,7.5,2.9,5,Pass
S1144,7.9,82.3,75.1,74.2,4.6,8.3,2,Pass
S1145,9.9,72.7,53.4,66.2,6.2,0.0,4,Pass
S1146,8.9,83.0,56.3,69.4,6.8,4.3,3,Pass
S1147,11.3,34.0,69.7,100.0,6.5,10.0,2,Fail
S1148,17.3,83.7,57.6,43.8,7.2,3.7,4,Fail
S1149,12.8,30.0,78.4,84.0,5.3,0.0,3,Fail
S1150,11.2,52.1,53.4,44.8,6.6,2.8,2,Fail
S1151,6.8,84.8,55.7,73.1,7.0,8.4,2,Fail
S1152,3.6,85.2,55.2,67.2,7.6,5.1,5,Pass
S1153,9.6,60.6,56.5,37.5,5.5,1.5,1,Fail
S1154,11.7,67.3,81.5,82.0,6.1,1.9,5,Pass
S1155,20.8,98.6,74.4,68.2,3.0,2.3,3,Pass
S1156,12.7,70.7,90.6,37.2,5.7,5.1,5,Pass
S1157,16.9,100.0,99.0,90.1,5.8,8.0,2,Pass
S1158,9.5,78.0,49.5,100.0,5.2,7.2,3,Fail
S1159,6.1,84.1,66.1,100.0,6.7,5.4,4,Pass
S1160,7.2,100.0,47.4,81.5,6.4,0.0,2,Pass
S1161,8.4,80.0,53.3,75.8,3.6,0.0,2,Fail
S1162,22.6,63.0,55.5,98.9,6.8,5.6,3,Pass
S1163,7.9,76.4,49.1,100.0,5.3,0.0,4,Fail
S1164,16.2,77.5,49.2,95.4,7.1,3.3,2,Pass
S1165,7.5,57.5,62.8,58.1,4.8,4.9,4,Fail
S1166,16.7,74.2,46.7,78.6,6.5,0.6,4,Pass
S1167,13.9,66.9,77.6,82.9,6.1,0.9,1,Pass
S1168,11.2,91.9,51.2,42.4,6.9,3.7,5,Pass
S1169,11.8,78.5,100.0,83.4,6.7,5.5,1,Pass
S1170,8.7,73.8,58.2,100.0,6.2,7.2,4,Pass
S1171,14.2,76.4,66.1,86.5,4.5,5.8,3,Fail
S1172,9.7,81.3,45.6,100.0,4.6,4.2,4,Pass
S1173,5.9,87.3,90.6,78.3,5.7,1.8,4,Pass
S1174,5.6,63.0,81.8,73.7,6.5,0.8,4,Pass
S1175,12.9,62.4,69.5,81.9,5.7,2.5,4,Pass
S1176,19.9,94.6,44.8,60.3,7.3,5.2,5,Pass
S1177,12.8,71.8,68.2,57.7,6.1,5.0,4,Pass
S1178,11.4,56.7,48.2,97.8,5.2,0.0,5,Fail
S1179,13.4,84.7,86.9,99.7,6.1,1.6,3,Pass
S1180,18.5,85.0,77.1,57.2,6.8,7.6,2,Pass
S1181,13.1,55.0,66.4,92.4,6.9,4.2,2,Fail
S1182,9.9,81.4,28.5,73.4,8.9,0.0,4,Fail
S1183,17.5,89.0,50.2,81.1,5.6,11.1,3,Pass
S1184,14.1,83.6,75.3,83.3,6.4,3.9,1,Pass
S1185,19.7,87.5,83.2,92.9,7.1,5.2,2,Pass
S1186,12.9,56.9,81.6,76.5,6.5,5.2,5,Fail
S1187,5.9,83.0,41.1,100.0,5.8,2.9,4,Fail
S1188,5.2,73.5,69.5,80.6,4.5,1.8,4,Pass
S1189,20.3,70.8,80.2,86.2,5.8,10.4,1,Pass
S1190,20.6,91.1,40.1,60.0,5.1,7.0,1,Pass
S1191,11.1,100.0,64.9,100.0,4.3,6.5,2,Fail
S1192,10.1,100.0,69.1,83.5,5.5,5.7,5,Pass
S1193,19.3,97.7,60.5,87.8,5.1,1.0,3,Pass
S1194,6.5,76.4,37.2,46.1,7.3,7.8,4,Fail
S1195,7.5,83.3,60.1,60.2,7.3,1.5,3,Pass
S1196,15.2,89.5,60.1,97.3,5.3,4.8,3,Fail
S1197,10.0,79.8,62.8,80.2,6.2,0.0,4,Fail
S1198,12.0,80.0,56.5,40.6,4.1,0.0,5,Fail
S1199,11.2,90.4,58.4,93.7,5.9,5.0,3,Pass
S1200,13.7,77.1,64.4,65.2,7.0,1.6,3,Pass
S1201,19.0,67.1,71.6,100.0,7.6,0.0,5,Pass
S1202,12.5,71.8,60.4,73.4,5.6,5.6,2,Pass
S1203,15.2,87.5,58.9,78.7,7.9,10.4,5,Fail
S1204,1.7,78.0,66.4,96.2,4.5,8.2,3,Pass
S1205,11.8,83.1,36.2,58.8,4.9,3.2,5,Fail
S1206,7.8,88.1,72.2,57.1,7.4,4.0,3,Pass
S1207,5.9,72.4,65.0,71.5,8.7,6.7,4,Fail
S1208,7.6,89.3,65.6,89.9,6.5,7.4,2,Pass
S1209,10.3,83.7,79.4,51.0,6.4,3.0,4,Pass
S1210,16.6,59.5,35.7,45.0,3.6,4.1,2,Pass
S1211,5.4,99.6,35.4,89.8,3.9,4.9,4,Fail
S1212,12.2,70.5,69.1,64.1,6.7,5.7,4,Pass
S1213,9.6,53.2,64.9,67.9,6.0,3.6,3,Fail
S1214,10.4,62.3,67.6,41.6,5.1,3.6,3,Fail
S1215,17.0,62.7,58.1,62.8,6.6,8.1,2,Pass
S1216,14.7,78.8,75.0,74.9,6.6,7.6,4,Pass
S1217,18.7,73.9,79.0,91.7,7.7,5.4,3,Pass
S1218,11.2,72.9,72.3,61.1,6.7,9.2,3,Pass
S1219,8.5,87.3,61.1,100.0,8.1,2.8,1,Pass
S1220,10.9,83.1,33.4,62.7,6.5,8.9,1,Fail
S1221,13.2,82.7,76.5,62.7,6.4,5.6,1,Pass
S1222,12.9,84.1,83.3,100.0,7.9,13.8,5,Pass
S1223,6.6,87.2,74.7,78.8,5.2,0.4,5,Pass
S1224,12.5,46.4,51.8,65.1,10.0,1.9,1,Fail
S1225,13.1,72.5,75.1,72.2,7.0,5.3,1,Pass
S1226,24.6,45.3,77.9,99.4,7.0,5.2,4,Fail
S1227,21.4,78.5,88.4,100.0,7.2,9.9,3,Pass
S1228,7.7,77.9,51.9,60.3,8.9,2.0,2,Fail
S1229,10.6,93.7,61.6,74.2,7.5,6.7,4,Pass
S1230,4.7,95.8,76.2,76.6,4.4,7.5,2,Fail
S1231,9.0,81.0,65.9,57.2,6.5,6.1,1,Fail
S1232,13.6,70.5,48.2,74.0,6.1,1.1,2,Fail
S1233,18.0,85.3,71.2,75.1,6.6,8.2,5,Pass
S1234,8.4,70.1,73.7,95.5,4.8,7.7,4,Pass
S1235,8.7,78.0,66.3,96.7,7.2,5.8,1,Fail
S1236,1.3,92.8,68.3,69.1,5.7,4.6,3,Pass
S1237,11.2,69.6,61.1,71.1,6.6,4.7,5,Fail
S1238,6.7,90.1,87.2,87.0,6.1,3.8,5,Pass
S1239,9.4,88.2,51.5,64.5,9.0,5.9,4,Fail
S1240,7.6,63.7,56.2,85.6,9.1,4.1,1,Fail
S1241,11.5,92.6,65.2,73.4,6.6,1.5,2,Pass
S1242,3.2,88.5,78.2,57.6,6.6,0.9,2,Pass
S1243,4.7,79.5,42.5,57.8,6.0,1.7,1,Fail
S1244,22.6,66.6,45.3,100.0,7.9,4.7,1,Pass
S1245,5.6,65.1,34.4,72.2,6.1,3.9,2,Fail
S1246,6.5,69.9,65.5,100.0,6.0,4.6,3,Fail
S1247,21.2,86.1,48.2,65.8,7.8,5.5,2,Pass
S1248,26.5,63.7,59.2,80.2,5.8,2.1,3,Pass
S1249,6.1,84.6,74.9,100.0,6.5,8.4,2,Pass
S1250,10.2,59.4,55.4,56.0,4.4,3.2,1,Fail
S1251,13.7,74.9,68.5,40.8,7.4,2.7,5,Fail
S1252,20.6,79.6,60.5,98.2,9.0,5.4,3,Pass
S1253,7.1,100.0,75.1,60.1,7.4,0.0,2,Pass
S1254,10.8,57.3,72.1,74.6,8.4,1.6,5,Pass
S1255,15.9,100.0,54.6,64.5,5.4,6.9,5,Pass
S1256,14.2,80.2,62.5,79.8,6.8,0.0,5,Fail
S1257,10.1,84.2,80.7,57.9,5.3,7.4,1,Pass
S1258,11.3,79.8,70.9,71.8,6.5,8.5,4,Fail
S1259,5.1,84.7,44.0,83.1,7.5,2.9,5,Fail
S1260,10.8,75.7,74.8,56.9,6.6,4.9,5,Pass
S1261,10.7,99.8,48.7,62.4,4.7,7.4,2,Fail
S1262,13.2,71.2,86.2,68.7,4.8,2.6,5,Pass
S1263,9.2,95.0,80.4,49.3,4.7,6.6,3,Pass
S1264,14.4,68.3,69.3,67.4,7.1,2.0,3,Pass
S1265,17.1,77.1,67.4,77.1,9.2,2.6,3,Pass
S1266,12.8,61.9,61.9,67.8,8.3,1.6,4,Fail
S1267,13.8,84.8,75.2,70.1,4.0,5.0,1,Fail
S1268,12.3,99.7,59.4,74.6,8.3,7.5,3,Pass
S1269,12.0,76.8,68.5,63.2,7.7,3.4,5,Fail
S1270,8.4,75.0,78.1,87.4,4.5,0.2,3,Pass
S1271,13.6,61.3,56.6,100.0,6.1,0.8,2,Pass
S1272,11.5,74.6,55.8,66.6,7.9,5.2,1,Pass
S1273,22.5,54.1,47.1,83.7,7.2,9.5,3,Pass
S1274,19.9,64.3,49.0,70.7,4.8,5.2,4,Pass
S1275,13.9,81.4,37.6,81.6,7.3,2.8,3,Fail
S1276,8.2,97.8,75.9,100.0,3.7,6.3,5,Pass
S1277,6.4,100.0,92.1,84.2,6.2,3.3,4,Pass
S1278,18.0,69.2,86.4,43.1,8.0,2.9,3,Pass
S1279,13.3,99.5,40.6,83.2,6.5,1.1,1,Pass
S1280,14.4,81.7,75.9,97.2,5.9,8.2,3,Pass
S1281,3.3,75.7,86.3,71.0,7.7,0.0,1,Fail
S1282,16.6,84.5,58.1,92.9,7.8,6.4,4,Pass
S1283,14.3,78.9,66.5,62.6,8.2,2.6,1,Pass
S1284,6.4,79.7,34.9,48.3,7.6,2.8,5,Fail
S1285,9.6,71.9,69.0,77.5,7.9,9.1,2,Pass
S1286,13.3,57.0,49.0,43.4,7.5,1.9,3,Fail
S1287,12.3,54.8,68.0,70.7,6.8,2.0,1,Fail
S1288,10.5,87.8,41.6,98.2,6.6,3.6,2,Pass
S1289,11.5,73.8,73.1,40.6,6.2,5.2,5,Pass
S1290,10.7,69.1,80.4,52.0,4.9,2.7,2,Pass
S1291,12.8,78.1,53.3,56.4,5.3,0.0,3,Pass
S1292,19.4,89.9,47.9,73.9,6.1,1.4,5,Pass
S1293,0.0,80.7,32.7,68.4,6.8,7.8,4,Fail
S1294,10.8,68.2,61.0,100.0,8.4,4.2,1,Fail
S1295,12.9,96.4,56.3,92.2,6.4,5.4,2,Pass
S1296,13.5,100.0,41.7,83.9,7.8,3.2,2,Fail
S1297,10.1,85.4,71.8,77.6,7.9,2.0,2,Pass
S1298,3.2,92.6,58.3,82.1,6.2,9.0,2,Fail
S1299,13.6,96.6,48.9,59.5,7.3,3.4,3,Pass
S1300,20.6,95.0,56.7,90.4,6.2,2.7,2,Pass
S1301,4.3,87.2,81.1,55.0,8.2,7.3,2,Fail
S1302,16.3,87.0,74.0,90.0,7.3,1.8,3,Pass
S1303,10.4,85.8,63.0,96.4,5.0,2.2,2,Pass
S1304,11.7,61.5,74.3,78.8,6.7,4.0,2,Fail
S1305,6.7,88.5,47.6,71.8,8.6,4.0,3,Fail
S1306,10.3,57.7,65.5,82.2,6.3,4.8,5,Fail
S1307,18.5,66.1,67.2,23.5,7.1,10.3,3,Fail
S1308,14.9,97.6,58.0,80.4,7.2,5.0,3,Pass
S1309,20.7,90.6,71.5,73.0,5.2,0.0,5,Pass
S1310,17.9,100.0,53.3,74.1,7.2,5.0,4,Pass
S1311,14.2,73.9,72.6,87.7,4.7,4.1,2,Pass
S1312,20.7,60.7,73.3,73.7,5.7,4.1,2,Fail
S1313,14.2,74.4,21.2,54.5,6.5,4.7,3,Fail
S1314,16.1,79.5,82.9,72.5,7.0,3.9,3,Pass
S1315,10.5,79.2,19.3,76.2,6.1,3.8,1,Fail
S1316,12.3,95.0,55.8,77.1,7.1,5.8,1,Pass
S1317,8.5,72.6,80.4,77.9,6.4,2.4,2,Fail
S1318,16.9,83.3,60.2,93.7,6.5,1.2,5,Pass
S1319,6.1,63.2,43.0,55.5,7.4,13.1,4,Fail
S1320,15.9,84.8,48.6,78.2,5.6,1.9,5,Pass
S1321,11.0,78.0,80.4,98.2,6.6,4.3,1,Pass
S1322,17.9,66.8,36.2,43.8,6.1,0.0,3,Pass
S1323,15.8,74.5,81.9,78.2,4.4,4.3,3,Pass
S1324,21.1,75.2,64.2,64.5,5.3,1.2,3,Fail
S1325,15.7,73.9,47.1,68.3,8.5,2.7,3,Pass
S1326,4.1,100.0,56.3,58.7,7.0,7.1,2,Pass
S1327,11.7,76.5,49.7,71.9,4.8,5.4,1,Fail
S1328,6.1,74.3,78.0,100.0,4.5,5.7,5,Pass
S1329,9.4,46.5,76.0,52.2,6.4,0.0,5,Fail
S1330,19.6,64.6,39.2,53.9,8.5,9.5,1,Fail
S1331,15.2,74.1,58.9,51.6,6.3,0.4,3,Pass
S1332,8.5,67.7,52.1,100.0,8.2,8.6,3,Pass
S1333,6.9,98.7,84.4,66.7,7.0,7.1,4,Pass
S1334,12.2,75.5,44.7,74.5,7.1,5.7,5,Pass
S1335,5.9,97.3,89.1,67.7,4.8,1.4,3,Pass
S1336,8.6,78.9,64.5,58.0,7.7,4.5,4,Pass
S1337,13.6,78.6,47.6,70.8,6.1,2.6,5,Pass
S1338,17.8,76.7,54.8,100.0,7.6,4.1,5,Pass
S1339,15.0,78.1,53.0,100.0,5.4,3.3,2,Pass
S1340,0.5,100.0,45.9,59.6,6.7,0.0,5,Fail
S1341,13.5,43.2,66.4,86.7,7.0,7.4,3,Fail
S1342,12.4,48.0,46.6,60.0,6.3,3.8,1,Fail
S1343,14.1,69.9,32.3,43.0,7.0,2.5,4,Fail
S1344,20.1,78.2,59.3,93.4,6.2,2.3,5,Fail
S1345,1.7,88.4,38.0,95.9,5.7,5.1,2,Fail
S1346,9.0,85.1,53.7,93.8,8.6,1.3,3,Pass
S1347,15.0,72.2,51.4,66.5,7.9,0.0,2,Pass
S1348,4.1,93.3,51.9,72.0,5.5,5.2,1,Fail
S1349,19.4,93.5,95.0,88.5,7.2,5.6,5,Pass
S1350,13.8,80.8,65.8,82.0,5.5,3.4,1,Pass
S1351,16.2,92.4,68.7,67.9,5.0,0.6,3,Pass
S1352,9.1,82.1,38.4,45.9,7.8,4.3,1,Pass
S1353,16.1,69.6,55.2,77.0,4.3,0.0,4,Pass
S1354,17.3,88.5,68.2,94.4,7.7,0.9,5,Pass
S1355,13.2,79.7,49.6,53.4,6.2,1.7,4,Pass
S1356,13.2,78.0,78.6,86.5,6.2,6.5,4,Pass
S1357,13.4,100.0,47.0,81.0,7.0,2.9,5,Pass
S1358,7.7,41.2,60.7,88.5,7.3,2.7,5,Fail
S1359,11.3,56.7,56.2,90.7,5.4,9.9,5,Fail
S1360,11.2,60.2,67.5,62.5,7.4,5.1,2,Fail
S1361,13.9,72.6,55.4,45.9,6.6,5.0,3,Pass
S1362,17.0,74.2,60.9,65.4,4.9,2.9,5,Pass
S1363,6.7,55.4,61.5,91.0,6.5,2.2,2,Fail
S1364,11.4,63.2,54.0,65.2,8.3,0.0,4,Fail
S1365,19.4,65.1,72.3,62.5,8.7,6.9,1,Pass
S1366,8.3,100.0,68.6,42.2,7.4,5.3,5,Pass
S1367,7.9,100.0,63.7,100.0,5.0,3.5,4,Pass
S1368,13.0,71.8,58.5,89.9,7.1,3.6,4,Fail
S1369,16.2,72.5,76.9,88.9,7.6,6.2,5,Pass
S1370,12.1,60.8,61.5,92.4,7.4,0.0,2,Pass
S1371,18.6,49.4,60.4,85.4,7.5,2.2,3,Pass
S1372,16.3,76.2,66.6,70.6,7.0,0.6,5,Fail
S1373,16.2,63.0,90.4,72.1,6.4,9.3,1,Pass
S1374,14.8,76.7,44.9,67.3,5.7,6.6,5,Pass
S1375,23.6,54.0,76.5,100.0,4.0,0.0,2,Pass
S1376,11.0,66.6,36.6,85.0,6.9,0.0,3,Fail
S1377,2.0,80.2,68.3,66.7,6.7,3.6,3,Fail
S1378,20.0,83.5,88.6,83.4,7.2,2.6,4,Pass
S1379,9.7,84.3,72.3,56.8,4.8,0.0,5,Pass
S1380,12.5,58.2,67.6,100.0,7.3,9.8,2,Pass
S1381,18.5,90.8,56.6,63.1,9.2,4.9,1,Pass
S1382,4.0,66.0,65.5,84.0,6.6,5.4,3,Fail
S1383,5.7,87.5,61.2,94.2,6.4,1.9,4,Fail
S1384,4.0,77.8,53.2,81.9,6.9,6.2,4,Pass
S1385,8.0,57.4,60.7,76.7,9.1,2.9,4,Fail
S1386,14.2,73.3,68.0,75.2,5.2,3.1,2,Pass
S1387,14.6,83.5,53.5,74.0,6.8,5.8,5,Pass
S1388,13.4,87.2,52.9,64.6,5.5,0.0,1,Fail
S1389,4.9,75.9,44.6,66.9,5.8,8.8,1,Fail
S1390,0.4,100.0,70.9,100.0,6.4,4.5,1,Pass
S1391,12.3,93.1,73.2,73.0,8.3,7.8,5,Pass
S1392,9.6,74.2,68.5,60.9,8.8,0.8,1,Pass
S1393,14.3,89.3,79.5,65.7,7.1,1.2,4,Pass
S1394,15.5,100.0,66.3,94.8,6.0,0.5,5,Pass
S1395,12.7,100.0,70.9,87.2,9.7,4.8,4,Pass
S1396,15.8,59.6,69.6,85.1,5.9,4.2,5,Pass
S1397,13.1,64.1,63.6,70.4,5.8,2.6,1,Pass
S1398,14.7,100.0,57.0,85.3,4.2,1.0,3,Pass
S1399,8.5,62.1,98.2,63.4,8.3,0.2,3,Pass
S1400,11.1,58.2,58.2,70.3,7.8,3.9,4,Pass
S1401,13.0,70.7,55.0,92.5,9.6,2.6,4,Pass
S1402,16.1,84.3,71.5,90.7,4.7,1.9,3,Pass
S1403,10.0,76.5,68.8,57.3,8.4,8.6,2,Pass
S1404,14.6,68.2,43.9,59.6,6.6,3.8,1,Fail
S1405,10.7,67.9,81.8,77.0,7.5,7.8,3,Pass
S1406,11.4,67.3,63.6,100.0,4.4,2.4,2,Pass
S1407,16.1,64.8,48.3,40.5,8.4,4.7,3,Pass
